Frame Number,Timecode,delta_hue,delta_lum,delta_hsv_avg,delta_sat
307,00:00:10.243,0.00391975308642,0.00101851851852,0.00174897119342,0.000308641975309
308,00:00:10.276,0.0112962962963,0.00123456790123,0.00435185185185,0.000524691358025
309,00:00:10.310,0.0136728395062,0.00206790123457,0.00542181069959,0.000524691358025
310,00:00:10.343,0.0062962962963,0.00148148148148,0.00269547325103,0.000308641975309
311,00:00:10.377,0.0016975308642,0.000679012345679,0.000833333333333,0.000123456790123
312,00:00:10.410,0.00185185185185,0.000679012345679,0.000895061728395,0.000154320987654
313,00:00:10.443,0.00490740740741,0.00135802469136,0.00218106995885,0.000277777777778
314,00:00:10.477,0.00197530864198,0.00132716049383,0.00116255144033,0.000185185185185
315,00:00:10.510,0.0016975308642,0.000586419753086,0.000802469135802,0.000123456790123
316,00:00:10.543,0.00185185185185,0.000617283950617,0.000874485596708,0.000154320987654
317,00:00:10.577,0.00490740740741,0.00135802469136,0.00218106995885,0.000277777777778
318,00:00:10.610,0.00475308641975,0.00141975308642,0.00213991769547,0.000246913580247
319,00:00:10.643,0.0016975308642,0.000648148148148,0.00082304526749,0.000123456790123
320,00:00:10.677,0.00185185185185,0.000617283950617,0.000874485596708,0.000154320987654
321,00:00:10.710,0.00212962962963,0.00138888888889,0.00124485596708,0.000216049382716
322,00:00:10.744,0.00351851851852,0.00126543209877,0.00168724279835,0.000277777777778
323,00:00:10.777,0.0016975308642,0.000586419753086,0.000802469135802,0.000123456790123
324,00:00:10.810,0.00185185185185,0.000617283950617,0.000874485596708,0.000154320987654
325,00:00:10.844,0.00490740740741,0.00132716049383,0.002170781893,0.000277777777778
326,00:00:10.877,0.0575617283951,0.0112962962963,0.0256275720165,0.00802469135802
327,00:00:10.910,0.0134259259259,0.00533950617284,0.00748971193416,0.0037037037037
328,00:00:10.944,0.0252469135802,0.00287037037037,0.0110802469136,0.00512345679012
329,00:00:10.977,0.0888271604938,0.0303703703704,0.0563991769547,0.05
330,00:00:11.011,0.0487654320988,0.00549382716049,0.0204218106996,0.00700617283951
331,00:00:11.044,0.0204938271605,0.0054012345679,0.0108333333333,0.0066049382716
332,00:00:11.077,0.00645061728395,0.00200617283951,0.00344650205761,0.00188271604938
333,00:00:11.111,0.0183333333333,0.00277777777778,0.00787037037037,0.0025
334,00:00:11.144,0.127222222222,0.0062962962963,0.0479526748971,0.0103395061728
